grid_id,grid_lat,grid_lon,yolcu_per_stop,sefer_per_stop,kapasite_per_stop,doluluk_orani,kapasite_kullanimi,stop_count,in_capacity_util_tail,in_passenger_tail,lisa_quadrant,lisa_pvalue,lisa_significant
39.8559_32.8118,39.85585585585586,32.811764705882354,11.717729884904521,0.24825560719247106,25.679197465926244,38.77912238933271,45.879819362533105,71.70815450643777,False,False,1,0.011,True
39.8559_32.8235,39.85585585585586,32.8235294117647,27.16984014407329,0.4193542362849834,46.036481296913635,44.746330161099706,58.37753888905537,56.05150214592275,False,False,1,0.017,True
39.8559_32.8353,39.85585585585586,32.83529411764706,15.319981874464526,0.2336359797001863,27.61017635601263,42.13059472716125,56.663319049567356,12.858369098712446,False,False,1,0.005,True
39.8559_32.8471,39.85585585585586,32.84705882352941,12.144508574725519,0.20677381903589825,22.398058447033122,44.23068294400709,54.357924348001696,47.527896995708154,False,False,1,0.008,True
39.8559_32.8588,39.85585585585586,32.858823529411765,6.158680141282035,0.07741951648661818,12.345344271417256,42.990298060308795,49.50576322434007,14.605150214592275,False,False,1,0.013,True
39.8559_32.8706,39.85585585585586,32.870588235294115,2.5154388313580345,0.03850651651769892,5.388707327637123,46.47424892703863,46.44014146687018,8.034334763948499,False,False,1,0.022,True
39.8559_32.9529,39.85585585585586,32.95294117647059,3.0732067510548524,0.031021712754205767,5.01835171402184,61.197424892703864,61.17599615808627,2.0085836909871246,False,False,1,0.01,True
39.8559_32.9647,39.85585585585586,32.96470588235294,5.607411858415787,0.052026893679216694,11.388460112580052,38.83136623748212,49.11972947039153,23.253218884120173,False,False,1,0.011,True
39.8649_32.4471,39.86486486486486,32.44705882352941,0.5948411082706466,0.012451691707994301,1.7479224931417243,34.35622317596567,34.33118254582122,2.0085836909871246,False,False,3,0.001,True
39.8649_32.5294,39.86486486486486,32.529411764705884,3.1827223947723025,0.028358757441509404,4.728226776626494,66.99356223175965,66.75200620641782,10.042918454935622,True,False,1,0.001,True
39.8649_32.5412,39.86486486486486,32.54117647058823,3.182722394772303,0.028358757441509404,4.728226776626494,66.99356223175965,66.75200620641782,4.017167381974249,True,False,1,0.001,True
39.8649_32.6,39.86486486486486,32.6,3.370591572451845,0.04745630812625298,7.7562391279033465,33.36695278969957,37.51683303866634,10.042918454935622,False,False,2,0.267,False
39.8649_32.6235,39.86486486486486,32.62352941176471,2.3311704055750107,0.022279307863117298,3.9807634921052863,49.5793991416309,49.574632662977685,2.0085836909871246,False,False,1,0.17,False
39.8649_32.6353,39.86486486486486,32.63529411764706,13.253709326058605,0.22456130453466489,31.513663838905593,25.260173957995217,42.1563967534041,22.188841201716738,False,False,1,0.065,False
39.8649_32.6471,39.86486486486486,32.64705882352941,22.26225982188218,0.2733508079785253,41.402916755664805,40.19598901792477,53.27203642370373,16.1931330472103,False,False,1,0.219,False
39.8649_32.6588,39.86486486486486,32.65882352941176,40.788928843335235,0.4954090182244289,75.37647942574976,39.29911097486205,54.11343960873916,14.30901287553648,False,True,1,0.26,False
39.8649_32.6706,39.86486486486486,32.67058823529412,5.607486289070477,0.10947118398957867,15.419173880232549,31.71506914639962,35.20976855730242,9.03862660944206,False,False,2,0.21,False
39.8649_32.6824,39.86486486486486,32.68235294117647,36.63251187321098,0.5481554687535112,77.98918306763228,45.12479981097755,46.45970871248527,36.61802575107296,False,True,4,0.423,False
39.8649_32.6941,39.86486486486486,32.694117647058825,0.5810248406814931,0.0295236106455353,5.865058735819783,8.13412017167382,9.466766036019996,1.8626609442060085,True,False,2,0.355,False
39.8649_32.7059,39.86486486486486,32.705882352941174,16.685097442681247,0.25787873984229953,39.75184434870002,43.372927176668426,42.949650425564904,18.703862660944207,False,False,4,0.367,False
39.8649_32.7176,39.86486486486486,32.71764705882353,47.72759856630824,0.8016726403823178,220.10752688172042,21.29032258064516,21.268862556105404,6.0,False,True,2,0.159,False
39.8649_32.7294,39.86486486486486,32.72941176470588,912.4064516129032,9.068817204301075,1264.4451612903224,80.7741935483871,80.82114277823796,4.0,True,True,1,0.001,True
39.8649_32.7412,39.86486486486486,32.74117647058824,8.158458660872824,0.17268072793823863,17.270253168321837,44.85264663805436,45.25322489217482,15.064377682403434,False,False,1,0.001,True
39.8649_32.7647,39.86486486486486,32.76470588235294,12.556425102663392,0.23433434462456398,17.103599991985863,44.062231759656655,72.7223349164222,21.090128755364805,True,False,1,0.001,True
39.8649_32.8,39.86486486486486,32.8,26.42931836119528,0.35961095988604297,51.8274158932098,45.952283374007685,51.02113908438557,42.69098712446352,False,False,1,0.007,True
39.8649_32.8118,39.86486486486486,32.811764705882354,10.39567182666311,0.11491511979734145,19.16771660558019,37.14030127072288,53.987303006618305,16.48068669527897,False,False,1,0.019,True
39.8649_32.8235,39.86486486486486,32.8235294117647,10.021021546191196,0.19225727764574108,18.605340633298734,41.65553066912229,54.173738219354185,75.77682403433477,False,False,1,0.012,True
39.8649_32.8353,39.86486486486486,32.83529411764706,19.108999400499528,0.31721392188203346,40.18166515207796,41.80253805475027,47.92419433531792,21.72532188841202,False,False,1,0.005,True
39.8649_32.8471,39.86486486486486,32.84705882352941,9.408579655115432,0.17482842437715188,15.641738119938363,57.69460430485108,59.070055718320525,23.50214592274678,False,False,1,0.012,True
39.8649_32.8588,39.86486486486486,32.858823529411765,8.543780445414436,0.13556596411100957,16.766642624752105,43.30696273126257,51.329961926480884,50.69527896995708,False,False,1,0.016,True
39.8649_32.8706,39.86486486486486,32.870588235294115,13.074201862775668,0.11114702616335785,27.39677469414116,38.36771504931705,47.661737320871104,25.605150214592275,False,False,1,0.011,True
39.8649_32.9412,39.86486486486486,32.94117647058823,4.723441111748008,0.03954689263656375,9.353503500623289,38.56885294009757,50.51847426238779,12.489270386266094,False,False,1,0.001,True
39.8649_32.9529,39.86486486486486,32.95294117647059,5.607411858415787,0.052026893679216694,11.388460112580052,38.83136623748212,49.11972947039154,15.50214592274678,False,False,1,0.006,True
39.8739_32.4824,39.87387387387388,32.48235294117647,0.4404930948189321,0.013022457845946469,1.8800110968145642,24.824034334763947,23.861065535701602,1.8669527896995708,False,False,3,0.023,True
39.8739_32.4941,39.87387387387388,32.49411764705882,0.4404930948189321,0.013022457845946469,1.8800110968145642,24.824034334763947,23.861065535701602,1.8669527896995708,False,False,3,0.425,False
39.8739_32.5882,39.87387387387388,32.588235294117645,46.02265626499376,0.6221322329910757,89.69005673639765,51.035,51.01007183999172,1.015,False,True,4,0.285,False
39.8739_32.6471,39.87387387387388,32.64705882352941,18.125674956849085,0.3127905766786817,43.45134567371828,30.13502957607797,41.59199610297213,87.92274678111588,False,False,1,0.38,False
39.8739_32.6588,39.87387387387388,32.65882352941176,12.124764939817009,0.23953046397697378,33.501783922481124,29.988457225755386,37.16609621109126,26.703862660944207,False,False,2,0.265,False
39.8739_32.6706,39.87387387387388,32.67058823529412,27.64854252354307,0.4170334027995629,60.86095776118258,32.83301135738965,46.116401241166116,67.87124463519314,False,False,1,0.35,False
39.8739_32.6824,39.87387387387388,32.68235294117647,31.945063944257768,0.4942152310472074,70.285934308824,44.11352459195995,44.8522623744249,87.2618025751073,False,False,4,0.245,False
39.8739_32.6941,39.87387387387388,32.694117647058825,7.44272570343456,0.1435759642976871,20.25100709905045,35.943919885550784,36.15397656697435,14.163090128755364,False,False,3,0.233,False
39.8739_32.7059,39.87387387387388,32.705882352941174,18.805570507461066,0.37456415339603144,63.402469381538495,23.149509503372162,30.997404839824444,8.759656652360515,False,False,3,0.02,True
39.8739_32.7412,39.87387387387388,32.74117647058824,17.06189881713066,0.3172323611692983,22.211833758789208,47.06115879828326,76.05899339443657,2.0085836909871246,True,False,1,0.001,True
39.8739_32.7529,39.87387387387388,32.752941176470586,8.112884059636995,0.1893972878988008,14.556104338766987,46.353004291845494,54.83557571116534,24.103004291845494,False,False,1,0.001,True
39.8739_32.7882,39.87387387387388,32.78823529411765,24.227539207059305,0.49234571726257725,34.75180273262094,60.92918454935622,70.3863846946091,4.497854077253219,True,False,1,0.001,True
39.8739_32.8,39.87387387387388,32.8,29.2646869061788,0.4140048174258892,57.01063929103601,48.544241201203285,51.78004920570891,88.85407725321889,False,False,1,0.001,True
39.8739_32.8118,39.87387387387388,32.811764705882354,19.829051554976104,0.2350790656717497,37.346888752983055,42.44984906577651,52.94754848450947,85.9098712446352,False,False,1,0.016,True
39.8739_32.8235,39.87387387387388,32.8235294117647,4.387956307896175,0.10487490997722718,9.23836443268979,37.340881622200996,47.655209892775844,31.965665236051503,False,False,1,0.012,True
39.8739_32.8353,39.87387387387388,32.83529411764706,20.321657297862053,0.3162521314522674,35.48243525516025,46.886609442060085,57.20802345484546,26.51502145922747,False,False,1,0.018,True
39.8739_32.8471,39.87387387387388,32.84705882352941,18.605608572145254,0.2674220943303052,34.2908578272148,50.67062191837216,53.91169160850041,32.79399141630901,False,False,1,0.011,True
39.8739_32.8588,39.87387387387388,32.858823529411765,10.226220435148562,0.15621176227681605,19.96770693607599,37.70808246952036,51.06684340592825,55.94849785407725,False,False,1,0.005,True
39.8739_32.8706,39.87387387387388,32.870588235294115,9.09846578834465,0.09350541777232893,16.88145453476638,49.61537565804459,53.47088734547841,40.54077253218884,False,False,1,0.002,True
39.8739_32.8824,39.87387387387388,32.88235294117647,8.595043586223102,0.10175845098147891,14.266776868759997,61.24892703862661,58.240230758975606,10.042918454935622,False,False,1,0.038,True
39.8739_32.8941,39.87387387387388,32.89411764705882,0.18980679258360764,0.004256194766938132,0.5988996707676313,31.306532663316585,31.307729121799476,1.0050251256281406,False,False,2,0.052,False
39.8739_32.9294,39.87387387387388,32.92941176470588,19.446943449329254,0.19075896312384852,35.01312897683341,48.18751277334968,55.361015439796596,10.759656652360515,False,False,1,0.002,True
39.8739_32.9412,39.87387387387388,32.94117647058823,4.368113063043533,0.053737355876317915,8.078739850224204,50.11641630901288,53.31791997197035,4.017167381974249,False,False,1,0.002,True
39.8739_32.9529,39.87387387387388,32.95294117647059,5.014590334629755,0.05490498203256932,8.60890275856593,56.272532188841204,57.881746441220045,6.0257510729613735,False,False,1,0.005,True
39.8739_32.9882,39.87387387387388,32.98823529411764,10.204116207996556,0.07923709848372346,18.44189645722418,47.94635193133047,54.77749069997848,20.085836909871244,False,False,1,0.015,True
39.8739_33.0,39.87387387387388,33.0,6.140517420683657,0.054050461637665574,11.72390588989763,46.59028771260531,51.66854782034327,27.11587982832618,False,False,1,0.011,True
39.8739_33.1765,39.87387387387388,33.1764705882353,1.604399727955236,0.02598112999635876,3.6515483184169444,41.67167381974249,43.44706265892197,2.2060085836909873,False,False,4,0.271,False
39.8829_32.5765,39.88288288288288,32.576470588235296,0.2974205541353233,0.006225845853997151,0.8739612465708622,34.35622317596567,34.33118254582122,1.0042918454935623,False,False,2,0.473,False
39.8829_32.5882,39.88288288288288,32.588235294117645,2.644043036680243,0.037177268424633314,6.031825481737281,30.501072961373392,39.055677851925445,3.4334763948497855,False,False,2,0.451,False
39.8829_32.6,39.88288288288288,32.6,0.9507227834809824,0.01549295056731872,3.0046486497507465,28.315450643776824,28.34018532080439,1.0042918454935623,False,False,3,0.481,False
39.8829_32.6118,39.88288288288288,32.61176470588235,21.45707003389913,0.3060214412423079,44.74353059415854,40.20924863648816,47.92730579056004,41.712446351931334,False,False,4,0.296,False
39.8829_32.6235,39.88288288288288,32.62352941176471,8.622747490997243,0.15758896511094475,23.150978278064905,30.071929054493435,36.72672280318435,23.510729613733904,False,False,3,0.426,False
39.8829_32.6353,39.88288288288288,32.63529411764706,3.1677039682969803,0.06909423149008108,9.954745914762082,27.807081545064378,31.566470764703933,11.459227467811159,False,False,3,0.35,False
39.8829_32.6471,39.88288288288288,32.64705882352941,6.904932178520886,0.12604899459683794,18.448089055475634,29.775751072961373,36.73732735563741,6.0257510729613735,False,False,3,0.461,False
39.8829_32.6588,39.88288288288288,32.65882352941176,16.3776789595049,0.29026173299615354,40.244975695075695,28.61237120856685,40.63125478431095,75.12017167381974,False,False,4,0.433,False
39.8829_32.6706,39.88288288288288,32.67058823529412,14.821849739206304,0.25615875498540225,38.38175151603589,28.890487811719822,37.8384169788936,17.781115879828327,False,False,3,0.481,False
39.8829_32.6824,39.88288288288288,32.68235294117647,28.345414322450555,0.4810306787296913,70.09449802734355,33.63130133370841,40.30232015868163,98.43347639484979,False,False,4,0.389,False
39.8829_32.6941,39.88288288288288,32.694117647058825,23.936887178728234,0.4845354447239899,70.95572196734251,42.92346208869814,33.062368348152695,3.0128755364806867,False,False,3,0.259,False
