grid_id,grid_lat,grid_lon,stop_count,yolcu_per_stop,sefer_per_stop,kapasite_per_stop,doluluk_orani,kapasite_kullanimi,reconstruction_error,anomaly_autoencoder,anomaly_score_if,anomaly_isolation_forest,lof_score,anomaly_lof,graph_anomaly_score,anomaly_graph,anomaly_count,anomaly_consensus
39.955_32.5529,39.95495495495496,32.55294117647059,44.68125,47.94876692384067,0.13498645396434938,91.07804733421786,44.46460575048733,56.36160141119116,0.029935854367076953,False,-0.3965547610364804,False,-1.1184195272282564,False,0.6079246468078131,False,0,False
39.955_32.5647,39.95495495495496,32.56470588235294,58.839506172839506,70.7087538825474,0.09705060827019923,136.0504743385314,46.96406893004115,56.73401454647867,0.022063877807794802,False,-0.43773690120313036,False,-1.1792759880233024,False,0.48232891271390393,False,0,False
39.955_32.5765,39.95495495495496,32.576470588235296,163.73456790123456,85.04771256102998,0.16473914616959592,160.39031381080673,49.408190801337845,58.24075064636095,0.4520312365677934,True,-0.5090952447905115,False,-1.214918368721906,False,1.6316621646492337,False,1,False
39.955_32.5882,39.95495495495496,32.588235294117645,61.924528301886795,12.499865959183667,0.08827047703888725,25.14666426739433,54.35025360113613,57.73583728604398,0.055565354769638364,False,-0.40047741296493095,False,-1.003885970905411,False,3.5805120980088816,False,0,False
39.955_32.6,39.95495495495496,32.6,126.9329268292683,140.6671511786079,0.13870620834223724,259.65285227828986,49.546398870477255,59.74506707746903,0.1059900286362216,False,-0.5242539131991149,False,-1.1445886780849386,False,0.6676699353229565,False,0,False
39.955_32.6118,39.95495495495496,32.61176470588235,81.90062111801242,50.214989853800155,0.1662492006749395,94.5460305283165,51.913180673002564,61.686654517290044,0.0657306172844175,False,-0.4250290029062124,False,-1.0918899746895592,False,2.1765875083593067,False,0,False
39.955_32.6235,39.95495495495496,32.62352941176471,43.40372670807454,38.59831549458655,0.14530137413814004,73.49442826058798,54.40263892118112,59.6607090337394,0.001678957980776192,False,-0.38809015213011555,False,-1.0107499886611326,False,1.4106413388934462,False,0,False
39.955_32.6471,39.95495495495496,32.64705882352941,77.34939759036145,293.87286660470926,0.28943924600391896,588.6994866226896,51.20025240305012,57.791007883955494,0.2519183861360959,False,-0.583891763790445,True,-1.0071827441513588,False,2.131986022033039,False,1,False
39.955_32.6588,39.95495495495496,32.65882352941176,193.7116564417178,234.5939973083896,0.27684678151183656,437.14445483463504,51.288095994861536,58.36308323087411,0.18122982478076063,False,-0.5869463557203713,True,-1.0103063708628253,False,1.9469990383152975,False,1,False
39.955_32.6706,39.95495495495496,32.67058823529412,29.12578616352201,18.896372367276918,0.16800324388400437,32.65194130224347,52.88477092690552,60.18330394516143,0.0054757680320234895,False,-0.3776449347738145,False,-1.0214017344547746,False,3.633545594113417,False,0,False
39.955_32.6824,39.95495495495496,32.68235294117647,222.48170731707316,394.442502258756,0.33225672932904343,724.8162149815239,49.47388532796828,58.15748133805911,0.03676713803102479,False,-0.6626218144393271,True,-1.3114920324726145,False,6.538655205709684,False,1,False
39.955_32.6941,39.95495495495496,32.694117647058825,8.050314465408805,19.798490059108044,0.45878311930552934,32.21616364501562,48.65315630095505,63.55541780035646,0.10965304861273899,False,-0.42664511958741297,False,-1.133563521192244,False,2.465823830627862,False,0,False
39.955_32.7059,39.95495495495496,32.705882352941174,10.0,22.87775255894181,0.4982795363584386,34.957029798653586,53.91299790356394,67.4200457505703,0.10949739730066647,False,-0.4516234232689342,False,-1.1044250312632766,False,2.220544668514873,False,0,False
39.955_32.7176,39.95495495495496,32.71764705882353,43.943396226415096,31.02704826189251,0.6840706133905337,56.59759172422465,49.0046873038834,57.120933542971585,0.028796129768791635,False,-0.42458642510034006,False,-1.0693226015980355,False,1.1068183762948027,False,0,False
39.955_32.7294,39.95495495495496,32.72941176470588,24.547169811320753,33.805943920442175,0.9606478422273251,78.57716716260187,36.511281240551355,44.532369976992904,0.1524889508812922,False,-0.4988697476855557,False,-1.066560239136971,False,1.02022342416663,False,0,False
39.955_32.7412,39.95495495495496,32.74117647058824,20.22641509433962,25.03805802127723,0.7824023669108112,59.103137300393186,40.45764284050448,44.167514714220715,0.10574018914672323,False,-0.45335071150967476,False,-1.1125719457474337,False,0.7367309394559912,False,0,False
39.955_32.7529,39.95495495495496,32.752941176470586,11.0,3.200343067417439,0.24445780572742476,17.090089007714433,22.715995397008058,19.232825972216954,0.0074692686668985896,False,-0.47769343469398134,False,-2.741164252749239,True,3.2862425389486596,False,1,False
39.955_32.7647,39.95495495495496,32.76470588235294,15.91194968553459,33.86708906533576,0.1679612488232078,71.0341671666053,29.306498951781972,33.336239857035885,0.00982599901649485,False,-0.44333155390978796,False,-1.339635436186783,False,2.2312149247902617,False,0,False
39.955_32.7765,39.95495495495496,32.77647058823529,15.930817610062894,61.98596099707941,0.4203729635372243,136.2861449046512,32.3460036687631,28.04595912758027,0.08854283810203785,False,-0.5006378595158592,False,-1.2572945505130484,False,1.6454603487769397,False,0,False
39.955_32.7882,39.95495495495496,32.78823529411765,2.0,24.826100628930817,1.3638364779874212,95.82075471698113,27.952306079664574,27.971432560092158,0.4737160268865588,True,-0.604528790952011,True,-1.6255733182898218,False,4.297107408172897,False,2,True
39.955_32.8,39.95495495495496,32.8,45.943396226415096,54.31572092875632,0.8624634899208816,135.80354497878608,38.48774440970914,41.39420735682015,0.08340024019091631,False,-0.50681424402944,False,-1.09142831118801,False,1.2957601264679834,False,0,False
39.955_32.8118,39.95495495495496,32.811764705882354,63.60377358490566,48.75632775867036,0.768634121256572,121.98563225177102,39.76583236756922,41.244013826256946,0.02124033265526162,False,-0.4747604573165389,False,-1.0910400584445876,False,1.3913335146781851,False,0,False
39.955_32.8235,39.95495495495496,32.8235294117647,64.48447204968944,94.63843535975742,0.4733692230677703,200.12363800937365,39.562641541672754,43.76453770028775,0.010603346579819763,False,-0.4922457405439739,False,-1.09359288195104,False,1.0569768081464752,False,0,False
